condition,training_seed,global_step,checkpoint_sha256,ppo_updates,optimizer_steps,episodes,successes,success_rate,mean_return,std_return,mean_length,mean_illegal_pickup_dropoff,logical_feature_refreshes,physical_api_requests
jev,2,140000,682206c34f76ccfdea0b77b3bfb26a6019aa07b38a9cb07baff9370addb78bed,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,160000,87c8ce6534fd4dc91d3600c28b59f1bbf775375a69064bcf8789a40477d37452,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,180000,3598041b6738cf5df0f69f1fce9485b0cde0e62d11b5c4c1ce45abd1f253b68d,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,200000,9cf06cfc095c62eceb55ddccd32c61f4417bbf4e3583a1950abd4deff784ff6e,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,20000,b10e044473d3f62afd201940ce579bed16382908ad3b69088e6110a2aa9e83e0,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,40000,49c4a7c3e22327391ea6fa8e4fb00e269c60c8aa8918c25b9ae774972a31266d,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,60000,3d192b038b6bab901a78f006233d2511829fa1cdf7139ace8d791df889a83bd8,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,80000,0cc0cc4ddb007b2eae61ef77ba1f001d3d1b1ad17c94f8085c62d56c2962861a,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,100000,20b877cbe1de4a8395dc7147480ccef255fda99551ef7508b2584d0fe6840ce0,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,120000,31143fe42a3d92078addbd2df459bc556678c5b74d5134c3015a8bfa7aef5024,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,140000,5958c8787858fdd8c84ecd974117675200047258e234fffea815b48798119f83,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,160000,bc65cd3d3373ca2553e168062255f05d9bbfc01805d31559a5eea20a4c856600,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,180000,dcf2d031af5fc22ba84e2c0a30674fb9f338a78917272219eadbd5d945ba285d,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,3,200000,77ca4e91435c5828e7eca027c4e318ae3be5d9d1126f9d38c7479fcf8b44e663,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,20000,862e7579960438867e05e02ad7e49d4e7e934dd95c3331989cc8d8865556acf0,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,40000,e4620c0478bbe6ee2e47b743ca505ade88acfba533f185bba4c43577f4ea4cc4,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,60000,026b444363305d55af258042f91bfdb4197d14a503b0cfb0bfc2c05a6e24a5e4,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,80000,f769491df6f8cbe31d41b772757126497b169bec4ecf939221ab3b1f55d67460,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,100000,87b1bd364e8098bd09eef19649e18859eea331b3e7d5acf73a4ead9b556d34ec,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,120000,87f75f6897e5f4ac391c2aa5aa4e7cdcf46afa2818983de0b894f7c1c4caf642,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,140000,25000848e66a8612eebbdabc5841b08b1ec8aea72589963bce9b730815cb63a7,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,160000,1ce9caa5f353cf3da99436ce793a5e75b37af169585e49fd6521df60be76d985,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,180000,e7c30322cd918359b1c39ad6d048c9ea2a57cf07ad7cbc86ba200cda398becde,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,4,200000,c7c4779699150f7dcde65efc0f2b9938a070dd94fc9c17888530c8cb4df097c7,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
