condition,training_seed,global_step,checkpoint_sha256,ppo_updates,ppo_updates_kind,training_feature_refreshes,active_seconds,evaluation_seconds,sampled_episodes,sampled_flags,sampled_flag_rate,sampled_mean_return,sampled_std_return,sampled_mean_length,sampled_mean_progress,greedy_episodes,greedy_flags,greedy_flag_rate,greedy_mean_return,greedy_std_return,greedy_mean_length,greedy_mean_progress
jev_interval16,0,2000000,5d8cf8ab6f41a32e1834c0df83a4315294a90852f666d7b9b812e59c27575edb,1952,recorded,129863,1460.3804304789996,188.59975558700035,20,20,1.0,234.06506250000035,0.06585314509383854,312.7,1.0,1,1,1.0,234.0175000000003,0.0,312.0,1.0
jev_interval1,0,100000,ecdfa8ff5cd02e32249e0b2e7c047641ebb9a7c4fbd78e2664adbe5ac8963aab,97,estimated,100978,96.08812788399996,4.8777603290000116,20,1,0.05,41.00634375000002,53.60774212183699,120.0,0.28832314629258515,1,0,0.0,-1.323749999999995,0.0,28.0,0.07458249832999332
jev_interval1,0,200000,9ccec7a008ee6b0a8bf7d6b746a4acd4d8bf7e3eced17d17d2f4c18519038b1f,195,estimated,201680,192.5142340609998,11.374330776000079,20,2,0.1,59.16253124999997,66.84053450905427,148.4,0.36945975283901117,1,0,0.0,-1.3587500000000112,0.0,27.0,0.07434201736806939
jev_interval1,0,300000,37da4b77dbe448133a6bc1a3a445bb1b4101f013864bb7530b59c328998744d8,292,estimated,302354,291.0357101909997,19.38800991700009,20,1,0.05,67.83434374999999,50.661075462051585,173.6,0.43453924515698084,1,0,0.0,95.60499999999895,0.0,352.0,0.5297261189044756
jev_interval1,0,400000,a8852ea37b3e22d49513c06a0dab519eba7ff85b01e228e3e3e57b31bd4c0bd6,390,estimated,402947,388.82718413899966,26.19972938900014,20,2,0.1,57.86540625000005,66.2185801724095,157.15,0.3640850033400134,1,0,0.0,-1.9749999999999908,0.0,32.0,0.07131596526386108
jev_interval1,0,500000,e70adf0bde70aad8e1da28458a780467cfe3698fa1ddf9eac7f7edce9b506bb5,488,estimated,503465,492.0778203929997,37.238965904000224,20,7,0.35,120.96290625000013,91.6681705780156,251.8,0.6189149966599865,1,1,1.0,233.2487500000007,0.0,397.0,1.0
jev_interval1,0,600000,14bb31b76bcf52497bcaba2f260165a9161619d4de744752b3eb9ebfb23426fd,585,estimated,603931,593.6999849879994,46.96109629899979,20,6,0.3,103.32553125000018,92.29952844951582,216.05,0.5394848029392117,1,0,0.0,129.19500000000087,0.0,393.0,0.7114228456913828
jev_interval1,0,700000,360256427ba2fe2723f373ed407c75fccfec2cd245074c03dc03266601ebdbde,683,estimated,704357,696.6365844799993,57.45760140900006,20,8,0.4,129.25100000000018,89.56207418544132,242.4,0.6447209418837675,1,0,0.0,29.675000000000033,0.0,77.0,0.2428590514362059
jev_interval1,0,800000,a29880c5bf83e06291d5c969727806e9c1c757e20bbc6c1cb9dc45770c9ded64,781,estimated,804753,802.5006397309994,70.09874230100036,20,10,0.5,162.47046875000018,78.05803823089647,285.8,0.7897653640614563,1,1,1.0,233.85875000000024,0.0,332.0,1.0
jev_interval1,0,900000,aefac6588905357dccce2edc880a2c4837f17b528d68bdc4cb9cf8b5652e30fa,878,estimated,905131,909.0610638969997,83.2360871060007,20,16,0.8,188.11525000000037,91.36430319707766,287.85,0.822679692718771,1,1,1.0,232.76625000000135,0.0,442.0,1.0
jev_interval1,0,1000000,7b1df70bc60d3421695da592564e0a7366af6f099c62174bea1e51ca67c1c0d7,976,estimated,1005497,1011.2546761239996,91.33379101600099,20,11,0.55,134.8817500000002,111.15592538707192,198.95,0.6204084836339345,1,0,0.0,-1.2887499999999985,0.0,26.0,0.0746626586506346
jev_interval1,0,1100000,28329fd13f58799e978144c964358babb5caac84ccfcf2227867df0b7258a20c,1073,recorded,1105864,1114.6319370839997,102.857303540001,20,15,0.75,193.03281250000035,74.23650715984017,274.0,0.8656703406813628,1,1,1.0,234.0975000000004,0.0,308.0,1.0
jev_interval1,0,1200000,0ec020c41068377389b265aff860957bdcf0c65fbfeb55eef905303ff52d0b3d,1171,recorded,1206206,1216.7132362559996,115.49119799300104,20,18,0.9,224.50212500000038,28.724608624672893,305.65,0.983320975283901,1,1,1.0,234.14625000000038,0.0,303.0,1.0
jev_interval1,0,1300000,b7c51a2522e3c1d1797526d092c6338be616c5b82d254897c93728be742f3fdf,1268,recorded,1306546,1319.1627938199995,128.61951091500111,20,20,1.0,234.1318750000004,0.038378257190733275,304.7,1.0,1,1,1.0,234.15750000000037,0.0,303.0,1.0
jev_interval1,0,1400000,afc8451bc79eb0b82ba3221903d5d54d25e12980622aec5db8d0e384748e188b,1366,recorded,1406881,1421.7938087479995,142.16182098800107,20,15,0.75,209.1812500000007,51.029644391458845,324.45,0.9464195056780227,1,1,1.0,234.15750000000037,0.0,303.0,1.0
jev_interval1,0,1500000,2be06f155b99340321e6471d10c37caf39db047311d64b4d55c55700beebe9b4,1464,recorded,1507219,1525.5245488929995,155.1559726290012,20,20,1.0,234.12362500000035,0.07220835737637858,306.2,1.0,1,1,1.0,234.15750000000037,0.0,303.0,1.0
jev_interval1,0,1600000,5f6db24174756dd2367c5f05f3c495705a8f32a027ef7c17e8ff1b956a9fd58b,1561,recorded,1607548,1629.8775761619997,168.16082988900132,20,20,1.0,234.15750000000034,2.842170943040401e-14,303.0,1.0,1,1,1.0,234.15750000000037,0.0,303.0,1.0
jev_interval1,0,1700000,dfccd4f2975b0f2e600f7f08c41c9b8258444720637977e1efb7cbde45564a61,1659,recorded,1707881,1732.5344453649996,180.7622876520012,20,20,1.0,234.12431250000037,0.06460030354997669,306.2,1.0,1,1,1.0,234.15750000000037,0.0,303.0,1.0
jev_interval1,0,1800000,c42b22335ef64b9ec3ac602b514f21a482288d55b3a4999fd53a0b2a31fe345a,1757,recorded,1808212,1832.534920953,193.38665459300125,20,20,1.0,234.15750000000034,2.842170943040401e-14,303.0,1.0,1,1,1.0,234.15750000000037,0.0,303.0,1.0
jev_interval1,0,1900000,e2d9ad580a630a1e15c3b65190badaacea4f31b6721e836f1ca2a8b51d58352a,1854,recorded,1908546,1933.6333209639997,205.69817258500132,20,19,0.95,225.66325000000035,37.03475606482722,295.05,0.9715237140948563,1,1,1.0,234.15750000000037,0.0,303.0,1.0
jev_interval1,0,2000000,f133060dc52ad67a9e32babb2e9fa761d26d84eed149dae037394206749bc7ee,1952,recorded,2008873,2044.401942609,219.26327557000138,20,20,1.0,234.09437500000044,0.13582013611745214,309.05,1.0,1,1,1.0,234.15750000000037,0.0,303.0,1.0
