condition,training_seed,global_step,policy_mode,seed,return,length,flag_get,progress,terminated,truncated,decision_cap_reached
baseline,0,900000,sampled,2000006,66.17999999999995,142,False,0.4414161656646628,True,False,False
baseline,0,900000,sampled,2000007,233.83375000000026,341,True,1.0,True,False,False
baseline,0,900000,sampled,2000008,56.62500000000002,150,False,0.3907815631262525,True,False,False
baseline,0,900000,sampled,2000009,56.915,121,False,0.3907815631262525,True,False,False
baseline,0,900000,sampled,2000010,233.8025000000005,338,True,1.0,True,False,False
baseline,0,900000,sampled,2000011,56.70624999999996,133,False,0.39030728122912467,True,False,False
baseline,0,900000,sampled,2000012,65.95374999999991,153,False,0.44079492317969265,True,False,False
baseline,0,900000,sampled,2000013,233.94000000000037,328,True,1.0,True,False,False
baseline,0,900000,sampled,2000014,233.88875000000039,331,True,1.0,True,False,False
baseline,0,900000,sampled,2000015,66.12249999999996,149,False,0.4414829659318638,True,False,False
baseline,0,900000,sampled,2000016,233.55625000000066,362,True,1.0,True,False,False
baseline,0,900000,sampled,2000017,233.7275000000005,348,True,1.0,True,False,False
baseline,0,900000,sampled,2000018,233.80875000000034,337,True,1.0,True,False,False
baseline,0,900000,sampled,2000019,233.81000000000057,344,True,1.0,True,False,False
baseline,0,900000,greedy,4000000,233.7787500000004,340,True,1.0,True,False,False
baseline,0,1000000,sampled,2000000,64.27124999999994,132,False,0.43068136272545093,True,False,False
baseline,0,1000000,sampled,2000001,233.87875000000045,330,True,1.0,True,False,False
baseline,0,1000000,sampled,2000002,233.96375000000037,321,True,1.0,True,False,False
baseline,0,1000000,sampled,2000003,56.835000000000015,129,False,0.3907815631262525,True,False,False
baseline,0,1000000,sampled,2000004,233.74500000000043,341,True,1.0,True,False,False
baseline,0,1000000,sampled,2000005,233.9700000000004,321,True,1.0,True,False,False
baseline,0,1000000,sampled,2000006,234.0075000000004,317,True,1.0,True,False,False
baseline,0,1000000,sampled,2000007,29.005000000000003,87,False,0.23981295925183693,True,False,False
baseline,0,1000000,sampled,2000008,233.79000000000036,337,True,1.0,True,False,False
baseline,0,1000000,sampled,2000009,29.055,82,False,0.23981295925183693,True,False,False
baseline,0,1000000,sampled,2000010,233.9700000000004,329,True,1.0,True,False,False
baseline,0,1000000,sampled,2000011,66.13999999999992,136,False,0.4408817635270541,True,False,False
baseline,0,1000000,sampled,2000012,233.9687500000004,321,True,1.0,True,False,False
baseline,0,1000000,sampled,2000013,233.96750000000043,323,True,1.0,True,False,False
baseline,0,1000000,sampled,2000014,233.89375000000047,328,True,1.0,True,False,False
baseline,0,1000000,sampled,2000015,233.8587500000003,332,True,1.0,True,False,False
